qid,label,cluster
55983,азарт,Азарт и интерес
55983,актианость,Активность и энергия в развитии
55983,активность,Активность и энергия в развитии
55983,проявление активности,Активность и энергия в развитии
55983,быть в команде,Успех и сотрудничество в команде
55983,желание быть с командой,Успех и сотрудничество в команде
55983,команда,Успех и сотрудничество в команде
55983,вдохновение,Вдохновение и эмоциональная составляющая успеха
55983,воодушевление,Вдохновение и эмоциональная составляющая успеха
55983,взаимоподдержка,Ответственность и взаимодействие в коллективе
55983,внимание,Азарт и интерес
55983,внимание к содержанию: что,Азарт и интерес
55983,говорит,Сохранение статуса и общение
55983,горящие глаза,Совместные усилия и стремление к цели
55983,готовность к ответственности,Ответственность и взаимодействие в коллективе
55983,действовать вместе,Совместные усилия и стремление к цели
55983,деньги,Азарт и интерес
55983,доверие,Ответственность и взаимодействие в коллективе
55983,единый морально нравственный у,Вдохновение и эмоциональная составляющая успеха
55983,желание,Азарт и интерес
55983,желание,Азарт и интерес
55983,желание делать,Азарт и интерес
55983,желание позновать новое,Поиск и развитие возможностей
55983,желание пробовать новое,Поиск и развитие возможностей
55983,заинтересованность в результат,Целеустремленность и достижение результата
55983,знание задачи,Глубокое погружение в задачи
55983,идейность,Инициативность и саморазвитие
55983,инициативность,Инициативность и саморазвитие
55983,инициатива,Инициативность и саморазвитие
55983,участие  интерес инициатива,Инициативность и саморазвитие
55983,интерес,Азарт и интерес
55983,интерес,Азарт и интерес
55983,интерес к делу,Азарт и интерес
55983,интерес к тому  что делаешь,Азарт и интерес
55983,заинтересованность,Азарт и интерес
55983,интерес и драйв в деятельности,Активность и энергия в развитии
55983,интерес кайф азарт,Поиск и развитие возможностей
55983,интерес познавать/развиваться,Поиск и развитие возможностей
55983,исполнительность,Активность и энергия в развитии
55983,когда в данный момент мысли,Вдохновение и эмоциональная составляющая успеха
55983,командная нацеленность,Успех и сотрудничество в команде
55983,лояльность,Ответственность и взаимодействие в коллективе
55983,лояльность к компании,Ответственность и взаимодействие в коллективе
55983,любовь к своему делу,Поиск и развитие возможностей
55983,любовькделу,Азарт и интерес
55983,мотивация,Вдохновение и эмоциональная составляющая успеха
55983,мотивация,Вдохновение и эмоциональная составляющая успеха
55983,мотивация на успех,Вдохновение и эмоциональная составляющая успеха
55983,желание достичь результата,Целеустремленность и достижение результата
55983,заряженность на результат,Целеустремленность и достижение результата
55983,нацеленность на результат,Целеустремленность и достижение результата
55983,неравнодушие,Ответственность и взаимодействие в коллективе
55983,неравнодушие,Ответственность и взаимодействие в коллективе
55983,обратная связь от руковолителя,Ответственность и взаимодействие в коллективе
55983,общая цель,Целеустремленность и достижение результата
55983,общий интерес,Азарт и интерес
55983,остается,Сохранение статуса и общение
55983,ответственность,Ответственность и взаимодействие в коллективе
55983,отдача,Ответственность и взаимодействие в коллективе
55983,отдача делу,Ответственность и взаимодействие в коллективе
55983,погружение в детали,Поиск и развитие возможностей
55983,погружение в задачу,Глубокое погружение в задачи
55983,поиск возможностей,Поиск и развитие возможностей
55983,поиск инструментов,Целеустремленность и достижение результата
55983,помощь,Азарт и интерес
55983,признание,Ответственность и взаимодействие в коллективе
55983,принятие всех задач,Глубокое погружение в задачи
55983,участие,Ответственность и взаимодействие в коллективе
55983,причастность,Ответственность и взаимодействие в коллективе
55983,проактивность,Активность и энергия в развитии
55983,проактивный подход,Инициативность и саморазвитие
55983,работать без проблем,Глубокое погружение в задачи
55983,ради чего,Азарт и интерес
55983,развитие,Активность и энергия в развитии
55983,самоотдача,Инициативность и саморазвитие
55983,самоотдача,Инициативность и саморазвитие
55983,самоотдача на 100%,Инициативность и саморазвитие
55983,смысл,Азарт и интерес
55983,соревнования,Ответственность и взаимодействие в коллективе
55983,старается,Совместные усилия и стремление к цели
55983,тяга к развитию,Поиск и развитие возможностей
55983,уважение,Ответственность и взаимодействие в коллективе
55983,успех коллектива,Успех и сотрудничество в команде
55983,целепологание,Азарт и интерес
55983,цель,Целеустремленность и достижение результата
55983,часть чего-то большого,Успех и сотрудничество в команде
55983,человека полностью принадлежат,Глубокое погружение в задачи
55983,чувство вклада,Ответственность и взаимодействие в коллективе
55983,чувство нового,Поиск и развитие возможностей
55983,эмоциональная отдача,Вдохновение и эмоциональная составляющая успеха
55983,энергия,Активность и энергия в развитии
55983,этому делу,Азарт и интерес
54827,а вдруг там плохо,Страхи и неопределенность в действиях
54827,боязнь нового,Страхи и неопределенность в действиях
54827,боязнь ошибиться,Страхи и неопределенность в действиях
54827,боязнь ошибки,Страхи и неопределенность в действиях
54827,промах,Страхи и неопределенность в действиях
54827,в выборе,Выбор и риски в принятии решений
54827,сложно выбрать,Выбор и риски в принятии решений
54827,влияние на чужую жизнь,Изменения в жизни и работе
54827,решение влияет на других людей,Изменения в жизни и работе
54827,в ответственности за его долго,Ответственность и сложности в работе
54827,высокая ответственность,Ответственность и сложности в работе
54827,отвественное,Ответственность и сложности в работе
54827,ответственность,Ответственность и сложности в работе
54827,высокие риски,Выбор и риски в принятии решений
54827,другое место работы,Изменения в жизни и работе
54827,если нужно при,Выбор и риски в принятии решений
54827,долгосрочное,Долгосрочные перспективы и результаты
54827,доооооолгий хвост решения,Преодоление сомнений и решение сложных задач
54827,на длительную перспективу,Долгосрочные перспективы и результаты
54827,за долгосрочный результат,Долгосрочные перспективы и результаты
54827,зависит дальнейшая жизнь,Изменения в жизни и работе
54827,от решения зависит дальнейшая,Долгосрочные перспективы и результаты
54827,влияние на будущую жизнь,Изменения в жизни и работе
54827,множество вариантов решения,Выбор и риски в принятии решений
54827,1. много вариантов,Выбор и риски в принятии решений
54827,много рисков,Выбор и риски в принятии решений
54827,2. много советчиков,Выбор и риски в принятии решений
54827,моя гиперответственность,Ответственность и сложности в работе
54827,наличие времени,Ответственность и сложности в работе
54827,не хватало опыта,Преодоление сомнений и решение сложных задач
54827,неизвестность,Преодоление сомнений и решение сложных задач
54827,ответственность неизвестность,Ответственность и сложности в работе
54827,неопределеннос,Преодоление сомнений и решение сложных задач
54827,не уверен за конечный результа,Долгосрочные перспективы и результаты
54827,неизвестность результата решен,Преодоление сомнений и решение сложных задач
54827,ни в чем,UNK
54827,нет сложностей,Ответственность и сложности в работе
54827,не уверен  просто,Преодоление сомнений и решение сложных задач
54827,неуверенность,Преодоление сомнений и решение сложных задач
54827,неуверенность  что справишься,Преодоление сомнений и решение сложных задач
54827,сомнения,Преодоление сомнений и решение сложных задач
54827,новые проблемы,Страхи и неопределенность в действиях
54827,одиночество,Ответственность и сложности в работе
54827,опасение последствий,Страхи и неопределенность в действиях
54827,последствия,Долгосрочные перспективы и результаты
54827,принятие последствий,Ответственность и сложности в работе
54827,отсутствие кадров,Проблемы с кадрами и их отсутствие
54827,отсутствиекадров,Проблемы с кадрами и их отсутствие
54827,отсутствие финансов,Финансовые аспекты и их влияние
54827,решение под давлением,Преодоление сомнений и решение сложных задач
54827,решительность,Ответственность и сложности в работе
54827,сильное влияние на жизнь,Изменения в жизни и работе
54827,это кординально поменяет жизнь,Изменения в жизни и работе
54827,скорость,Ответственность и сложности в работе
54827,слишком много переменных для р,Выбор и риски в принятии решений
54827,сложность отмены,Преодоление сомнений и решение сложных задач
54827,смена места жительства,Изменения в жизни и работе
54827,ст,UNK
54827,страх,Страхи и неопределенность в действиях
54827,финансы,Финансовые аспекты и их влияние
54827,финансовая подоплека,Финансовые аспекты и их влияние
